;Spot Check Item Value List
;Filter:(Inactive  =  No)  AND (Qty  <>  0) 
;Department,Supplier,Item,Description,Qty,Cost,Price,Extended Cost,Extended Price,
04-Reproduction Items,GRAPHIC IMAGE,341609,US CONSTITUTION LEATHER DNR,14,12.597,24.95,176.358,349.3,
Paper Products,IMPACT PHOTOGRAPHICS INC,370551,POSTCARD LINEN GOD BLESS AMER,368,0.16,0.92,58.88,338.56,
Toys & Games,IMPACT PHOTOGRAPHICS INC,423700,MINI BLOCKS BISON,77,4,12.95,308,997.15,
Toys & Games,IMPACT PHOTOGRAPHICS INC,423705,MINI BLOCKS BALD EAGLE,80,4,12.95,320,1036,
Commemorative,IMPACT PHOTOGRAPHICS INC,366813,MAGNET MINI PACK NY BW,174,3.2,8.95,556.8,1557.3,
Toys & Games,IMPACT PHOTOGRAPHICS INC,413035,PLAYING CARDS NATIONAL PARK,36,2.1,6.95,75.6,250.2,
Toys & Games,IMPACT PHOTOGRAPHICS INC,366812,PLAYING CARDS NY BW,303,2.0975,6.95,635.5425,2105.85,
Paper Products,IMPACT PHOTOGRAPHICS INC,370549,POSTCARD LINEN ELLIS ISLAND,650,0.16,0.92,104,598,
Paper Products,IMPACT PHOTOGRAPHICS INC,370550,POSTCARD LINEN SOL,952,0.16,0.92,152.32,875.84,
Toys & Games,IMPACT PHOTOGRAPHICS INC,323032,GAME AMER NAT'L PARKS MEMORY,3,7.245,19.95,21.735,59.85,
Commemorative,IMPACT PHOTOGRAPHICS INC,366810,MAGNET MANHATTAN NEIGHBORHOOD ,566,2,4.95,1132,2801.7,
Toys & Games,IMPACT PHOTOGRAPHICS INC,330962,FLASH CARDS AMER NATL PARKS,24,2.65,6.95,63.6,166.8,
02-Other Publications,"APPLEWOOD BOOKS, INC",272540,SILENT TRAVELER IN NEW YORK,9,8.62,17.95,77.58,161.55,
02-Other Publications,"APPLEWOOD BOOKS, INC",224744,CONSTITUTION OF USA HD,128,4.769,9.95,610.432,1273.6,
02-Other Publications,"APPLEWOOD BOOKS, INC",266984,AMERICAN FLAG APPLEWOOD,52,4.77,9.95,248.04,517.4,
02-Other Publications,ISRAELOWITZ PUBLISHING,274622,SECRETS OF THE NYC SUBWAYS,8,17.9707,29.95,143.7656,239.6,
02-Other Publications,ISRAELOWITZ PUBLISHING,224660,ELLIS ISLAND GD W LOWER MANHAT,23,5.97,9.95,137.31,228.85,
04-Reproduction Items,FLAG AND BANNER,46817,FLAG AMERICAN 50 STARS 4X6,30,1.521,5.95,45.63,178.5,
